path,label
data\raw\flower_classification\train\rose\14240988383_1d3aafab7e_c.jpg,rose
data\raw\flower_classification\train\sunflower\36388570625_100d6cb388_c.jpg,sunflower
data\raw\flower_classification\train\common_daisy\3411147421_c699cf3fee_c.jpg,common_daisy
data\raw\flower_classification\train\rose\594943423_8c8c7eb06a_c.jpg,rose
data\raw\flower_classification\train\rose\4357972395_653c4cb76d_c.jpg,rose
data\raw\flower_classification\train\tulip\8659467160_527d5db636_c.jpg,tulip
data\raw\flower_classification\train\tulip\4701276181_e4ddf4d2d7_c.jpg,tulip
data\raw\flower_classification\train\dandelion\27295009145_e62d0b1fec_c.jpg,dandelion
data\raw\flower_classification\train\common_daisy\23668584223_b349422f0d_c.jpg,common_daisy
data\raw\flower_classification\train\sunflower\9718518727_0f0c909197_c.jpg,sunflower
data\raw\flower_classification\train\common_daisy\8758207187_1cfa693e23_c.jpg,common_daisy
data\raw\flower_classification\train\dandelion\13636517735_7145148ddf_c.jpg,dandelion
data\raw\flower_classification\train\sunflower\4543673150_1192ee5a7b_c.jpg,sunflower
data\raw\flower_classification\train\common_daisy\8717254362_3a1a3a69ae_c.jpg,common_daisy
data\raw\flower_classification\train\tulip\17471970152_af8b033eae_c.jpg,tulip
data\raw\flower_classification\train\rose\5462768163_021728e220_c.jpg,rose
data\raw\flower_classification\train\common_daisy\19471466939_c00cde087b_c.jpg,common_daisy
data\raw\flower_classification\train\tulip\17274390900_7ef0d4e583_c.jpg,tulip
data\raw\flower_classification\train\rose\2479527937_9bc6791df1_c.jpg,rose
data\raw\flower_classification\train\common_daisy\24651598246_c70ceabcc0_c.jpg,common_daisy
data\raw\flower_classification\train\dandelion\42147011272_fc10e57be5_c.jpg,dandelion
data\raw\flower_classification\train\sunflower\7687673280_8a8c4d2128_c.jpg,sunflower
data\raw\flower_classification\train\common_daisy\19912729198_2a65acb4cc_c.jpg,common_daisy
data\raw\flower_classification\train\sunflower\15454672358_18d2303a56_c.jpg,sunflower
data\raw\flower_classification\train\tulip\5676925814_75a55ed06c_c.jpg,tulip
data\raw\flower_classification\train\sunflower\28613616257_91b33cd3e9_c.jpg,sunflower
data\raw\flower_classification\train\sunflower\4778356407_ebb8e799f1_c.jpg,sunflower
data\raw\flower_classification\train\dandelion\8735728865_d9c5510625_c.jpg,dandelion
data\raw\flower_classification\train\rose\301821732_8586a35ae9_c.jpg,rose
data\raw\flower_classification\train\tulip\5784759362_c4cea8a01e_c.jpg,tulip
data\raw\flower_classification\train\sunflower\30493857448_846b619de5_c.jpg,sunflower
data\raw\flower_classification\train\dandelion\16582626943_c4cba3e0e0_c.jpg,dandelion
data\raw\flower_classification\train\sunflower\8453280116_96ec9d4e0c_c.jpg,sunflower
data\raw\flower_classification\train\tulip\8663256492_64422a81e2_c.jpg,tulip
data\raw\flower_classification\train\rose\28075849322_457a282542_c.jpg,rose
data\raw\flower_classification\train\tulip\2517865710_e060911905_c.jpg,tulip
data\raw\flower_classification\train\rose\8171561545_58c9de6fa2_c.jpg,rose
data\raw\flower_classification\train\rose\8147996556_d176118a57_c.jpg,rose
data\raw\flower_classification\train\dandelion\14366333352_6e67d10133_c.jpg,dandelion
data\raw\flower_classification\train\sunflower\14608506467_4a50aeec54_c.jpg,sunflower
data\raw\flower_classification\train\common_daisy\51001250730_aa76aae7ab_c.jpg,common_daisy
data\raw\flower_classification\train\common_daisy\49880753208_9cb1971401_c.jpg,common_daisy
data\raw\flower_classification\train\sunflower\14796434424_4893780911_c.jpg,sunflower
data\raw\flower_classification\train\common_daisy\8647936339_24039c3db5_c.jpg,common_daisy
data\raw\flower_classification\train\dandelion\41295674665_e770eccd13_c.jpg,dandelion
data\raw\flower_classification\train\dandelion\31058966742_3e8f1d743c_c.jpg,dandelion
data\raw\flower_classification\train\tulip\16859971794_531987bfc2_c.jpg,tulip
data\raw\flower_classification\train\rose\8705175629_3ca610d337_c.jpg,rose
data\raw\flower_classification\train\dandelion\14942894236_d9295c33f6_c.jpg,dandelion
data\raw\flower_classification\train\rose\16820350475_d7c5ec073b_c.jpg,rose
data\raw\flower_classification\train\tulip\125029794_75ed297fce_c.jpg,tulip
data\raw\flower_classification\train\dandelion\466445558_bb73590781_c.jpg,dandelion
data\raw\flower_classification\train\tulip\10356697466_7934d4038c_c.jpg,tulip
data\raw\flower_classification\train\common_daisy\12141969434_b692115d92_c.jpg,common_daisy
data\raw\flower_classification\train\sunflower\5539869654_77842222e4_c.jpg,sunflower
data\raw\flower_classification\train\common_daisy\9157387441_9bc1d4881c_c.jpg,common_daisy
data\raw\flower_classification\train\sunflower\1311195373_51ef605988_c.jpg,sunflower
data\raw\flower_classification\train\rose\2480339720_a769f1609f_c.jpg,rose
data\raw\flower_classification\train\tulip\4555166957_b483287e24_c.jpg,tulip
data\raw\flower_classification\train\dandelion\26306264980_51004a353a_c.jpg,dandelion
data\raw\flower_classification\train\tulip\4571338847_ccdced7c35_c.jpg,tulip
data\raw\flower_classification\train\sunflower\4781601452_65d3be7b52_c.jpg,sunflower
data\raw\flower_classification\train\common_daisy\9294249079_1fd548d6be_c.jpg,common_daisy
data\raw\flower_classification\train\rose\15179109176_41979a406d_c.jpg,rose
data\raw\flower_classification\train\sunflower\19739637668_31d54193b2_c.jpg,sunflower
data\raw\flower_classification\train\tulip\26401433440_154c74f68e_c.jpg,tulip
data\raw\flower_classification\train\rose\29432097571_45732b1ae3_c.jpg,rose
data\raw\flower_classification\train\sunflower\7672205_9fa68c871f_c.jpg,sunflower
data\raw\flower_classification\train\sunflower\4806267220_0aede537a7_c.jpg,sunflower
data\raw\flower_classification\train\sunflower\36676484091_51d2be9484_c.jpg,sunflower
data\raw\flower_classification\train\rose\120295872_2d2f47e14e_c.jpg,rose
data\raw\flower_classification\train\dandelion\6908175876_2de839d128_c.jpg,dandelion
data\raw\flower_classification\train\rose\14231694574_b08d90cab1_c.jpg,rose
data\raw\flower_classification\train\dandelion\3614810266_8d04815b37_c.jpg,dandelion
data\raw\flower_classification\train\rose\5360540962_7f33b57526_c.jpg,rose
data\raw\flower_classification\train\dandelion\8652713930_37a1831d0d_c.jpg,dandelion
data\raw\flower_classification\train\dandelion\25712570963_e1919a091e_c.jpg,dandelion
data\raw\flower_classification\train\common_daisy\14343944080_48e3decd60_c.jpg,common_daisy
data\raw\flower_classification\train\tulip\9380817325_5d43163b8f_c.jpg,tulip
data\raw\flower_classification\train\tulip\2421503311_be9a820c35_c.jpg,tulip
data\raw\flower_classification\train\rose\592610758_6dd84df3ac_c.jpg,rose
data\raw\flower_classification\train\common_daisy\5200657323_3483ffd190_c.jpg,common_daisy
data\raw\flower_classification\train\tulip\492051436_186d01b183_c.jpg,tulip
data\raw\flower_classification\train\rose\31319646231_ebffec7d26_c.jpg,rose
data\raw\flower_classification\train\rose\17630684996_9bfdac3795_c.jpg,rose
data\raw\flower_classification\train\tulip\14219781862_c4cdf4c539_c.jpg,tulip
data\raw\flower_classification\train\rose\4692095516_b9ce33ea42_c.jpg,rose
data\raw\flower_classification\train\rose\34796172892_d3c8ea4078_c.jpg,rose
data\raw\flower_classification\train\rose\2480343554_9183905b47_c.jpg,rose
data\raw\flower_classification\train\rose\26865317290_a7ed4f67a4_c.jpg,rose
data\raw\flower_classification\train\tulip\2409756318_29be966b2f_c.jpg,tulip
data\raw\flower_classification\train\dandelion\15379269861_b8f3736de0_c.jpg,dandelion
data\raw\flower_classification\train\sunflower\42563860274_797e1d6a89_c.jpg,sunflower
data\raw\flower_classification\train\common_daisy\16819145081_d9e0b18926_c.jpg,common_daisy
data\raw\flower_classification\train\dandelion\2501644229_fe0d593489_c.jpg,dandelion
data\raw\flower_classification\train\rose\3923851602_53eac9e733_c.jpg,rose
data\raw\flower_classification\train\tulip\2467694139_3f35ddbc57_c.jpg,tulip
data\raw\flower_classification\train\sunflower\29777891127_23d7bcc52b_c.jpg,sunflower
data\raw\flower_classification\train\sunflower\5929156900_d80b8c2e00_c.jpg,sunflower
data\raw\flower_classification\train\rose\25606894085_9d578f9174_c.jpg,rose
data\raw\flower_classification\train\common_daisy\26172234305_2f2e89d8f6_c.jpg,common_daisy
data\raw\flower_classification\train\dandelion\7219693770_e4dd88e503_c.jpg,dandelion
data\raw\flower_classification\train\dandelion\5635124746_b9dd703049_c.jpg,dandelion
data\raw\flower_classification\train\rose\36253901421_5688b988aa_c.jpg,rose
data\raw\flower_classification\train\rose\23291435451_2d1c153e8b_c.jpg,rose
data\raw\flower_classification\train\tulip\34081352245_5f784cfda1_c.jpg,tulip
data\raw\flower_classification\train\common_daisy\5507073227_f526d92daa_c.jpg,common_daisy
data\raw\flower_classification\train\common_daisy\10124715864_91073c5a43_c.jpg,common_daisy
data\raw\flower_classification\train\sunflower\6176508065_33046e1d9d_c.jpg,sunflower
data\raw\flower_classification\train\common_daisy\5507738070_cdfbe6816f_c.jpg,common_daisy
data\raw\flower_classification\train\tulip\7210798858_5fbac32536_c.jpg,tulip
data\raw\flower_classification\train\rose\543488013_5fbda20fd4_c.jpg,rose
data\raw\flower_classification\train\dandelion\8835963378_e08030a1e7_c.jpg,dandelion
data\raw\flower_classification\train\tulip\5705231079_22b27df2de_c.jpg,tulip
data\raw\flower_classification\train\common_daisy\2315191700_89f9d773ba_c.jpg,common_daisy
data\raw\flower_classification\train\rose\30176720544_7da3c76f88_c.jpg,rose
data\raw\flower_classification\train\rose\32919174140_6643d70a1f_c.jpg,rose
data\raw\flower_classification\train\dandelion\7230763588_e9a8c4ab4b_c.jpg,dandelion
data\raw\flower_classification\train\rose\9287614610_ca48b643cd_c.jpg,rose
data\raw\flower_classification\train\rose\2479524637_509c3dcf38_c.jpg,rose
data\raw\flower_classification\train\dandelion\14527198546_d3399a2a93_c.jpg,dandelion
data\raw\flower_classification\train\tulip\15721838401_122ce2925f_c.jpg,tulip
data\raw\flower_classification\train\tulip\27122968901_f2c81e29a7_c.jpg,tulip
data\raw\flower_classification\train\tulip\13924946167_ef13f13020_c.jpg,tulip
data\raw\flower_classification\train\rose\8198375518_a49db811fd_c.jpg,rose
data\raw\flower_classification\train\sunflower\8452189255_671f2ac545_c.jpg,sunflower
data\raw\flower_classification\train\dandelion\7208401258_e8f06c353d_c.jpg,dandelion
data\raw\flower_classification\train\rose\16657335946_63208bb203_c.jpg,rose
data\raw\flower_classification\train\tulip\6966733121_9a064e2a6d_c.jpg,tulip
data\raw\flower_classification\train\tulip\3532616657_d61b4631f5_c.jpg,tulip
data\raw\flower_classification\train\tulip\4358820369_c0487c8257_c.jpg,tulip
data\raw\flower_classification\train\tulip\3446635823_ec5a97b34f_c.jpg,tulip
data\raw\flower_classification\train\common_daisy\13546611605_775d785456_c.jpg,common_daisy
data\raw\flower_classification\train\rose\26649662544_57ec379f42_c.jpg,rose
data\raw\flower_classification\train\dandelion\7465519702_6e635aef37_c.jpg,dandelion
data\raw\flower_classification\train\common_daisy\49287421628_9694f11867_c.jpg,common_daisy
data\raw\flower_classification\train\sunflower\4812141164_aa2d67bc00_c.jpg,sunflower
data\raw\flower_classification\train\tulip\5824297122_f5f689052f_c.jpg,tulip
data\raw\flower_classification\train\rose\8739682211_20f1aec5fe_c.jpg,rose
data\raw\flower_classification\train\sunflower\2849071067_b3bce3bd42_c.jpg,sunflower
data\raw\flower_classification\train\rose\527055019_b6353babf2_c.jpg,rose
data\raw\flower_classification\train\rose\5811195677_ef9fff57ce_c.jpg,rose
data\raw\flower_classification\train\tulip\14083125281_4619170dde_c.jpg,tulip
data\raw\flower_classification\train\rose\27267493383_5de49a0169_c.jpg,rose
data\raw\flower_classification\train\common_daisy\8788814387_c7613361ee_c.jpg,common_daisy
data\raw\flower_classification\train\dandelion\17356098035_c2c36fb96e_c.jpg,dandelion
data\raw\flower_classification\train\dandelion\5655570435_9f3b87de24_c.jpg,dandelion
data\raw\flower_classification\train\rose\27559704785_e8cd0a7a59_c.jpg,rose
data\raw\flower_classification\train\dandelion\3416985343_8f889ee3e0_c.jpg,dandelion
data\raw\flower_classification\train\rose\34119030794_ed5c826677_c.jpg,rose
data\raw\flower_classification\train\sunflower\15406108742_ba0e49cedc_c.jpg,sunflower
data\raw\flower_classification\train\dandelion\138710141_b312af916a_c.jpg,dandelion
data\raw\flower_classification\train\dandelion\14508249781_452e46652e_c.jpg,dandelion
data\raw\flower_classification\train\common_daisy\49836899008_09555201ef_c.jpg,common_daisy
data\raw\flower_classification\train\rose\27590987_7d079605e3_c.jpg,rose
data\raw\flower_classification\train\dandelion\2166831869_1f83e382d2_c.jpg,dandelion
data\raw\flower_classification\train\sunflower\4832688133_78111dd9c7_c.jpg,sunflower
data\raw\flower_classification\train\common_daisy\5548849593_7c0443048f_c.jpg,common_daisy
data\raw\flower_classification\train\dandelion\5704862940_02d3237a1c_c.jpg,dandelion
data\raw\flower_classification\train\tulip\14222142865_9de7e06594_c.jpg,tulip
data\raw\flower_classification\train\sunflower\40745133974_4b0f3dc29d_c.jpg,sunflower
data\raw\flower_classification\train\common_daisy\5559430106_3431587559_c.jpg,common_daisy
data\raw\flower_classification\train\rose\13733581864_f91c0cbf7f_c.jpg,rose
data\raw\flower_classification\train\rose\4742966455_9cf8038cef_c.jpg,rose
data\raw\flower_classification\train\sunflower\337043613_666ce2f082_c.jpg,sunflower
data\raw\flower_classification\train\sunflower\14345338449_1c5a202c40_c.jpg,sunflower
data\raw\flower_classification\train\sunflower\16343445461_d97b7b2771_c.jpg,sunflower
data\raw\flower_classification\train\rose\2580784067_e4c929b503_c.jpg,rose
data\raw\flower_classification\train\dandelion\14030796043_896de9851d_c.jpg,dandelion
data\raw\flower_classification\train\rose\3702319352_7a930d0337_c.jpg,rose
data\raw\flower_classification\train\sunflower\395619830_d51544c95c_c.jpg,sunflower
data\raw\flower_classification\train\sunflower\4816312770_17cab09c54_c.jpg,sunflower
data\raw\flower_classification\train\sunflower\6740105779_aa64bf1421_c.jpg,sunflower
data\raw\flower_classification\train\tulip\2426573912_3b445cb9b0_c.jpg,tulip
data\raw\flower_classification\train\sunflower\14530946782_da6597b7a1_c.jpg,sunflower
data\raw\flower_classification\train\dandelion\15020769288_aa5b397ff3_c.jpg,dandelion
data\raw\flower_classification\train\tulip\5692301230_9c2e8195c0_c.jpg,tulip
data\raw\flower_classification\train\rose\20018037665_61c39ffe84_c.jpg,rose
data\raw\flower_classification\train\tulip\8649527122_abcca77ee5_c.jpg,tulip
data\raw\flower_classification\train\tulip\8026025022_6a526b6d79_c.jpg,tulip
data\raw\flower_classification\train\tulip\5700572638_296ef0743e_c.jpg,tulip
data\raw\flower_classification\train\common_daisy\21349455689_c7d34ede84_c.jpg,common_daisy
data\raw\flower_classification\train\tulip\14222148765_f945243647_c.jpg,tulip
data\raw\flower_classification\train\dandelion\17466568484_9128287148_c.jpg,dandelion
data\raw\flower_classification\train\rose\105796918_05f03f42c7_c.jpg,rose
data\raw\flower_classification\train\common_daisy\7618281644_aa2b3c7b1e_c.jpg,common_daisy
data\raw\flower_classification\train\rose\37421104851_658939414d_c.jpg,rose
data\raw\flower_classification\train\tulip\378816067_93136b9623_c.jpg,tulip
data\raw\flower_classification\train\common_daisy\4700164703_bde52dc460_c.jpg,common_daisy
data\raw\flower_classification\train\tulip\467339561_eacfe391f3_c.jpg,tulip
data\raw\flower_classification\train\rose\27287844164_e638f83ff8_c.jpg,rose
data\raw\flower_classification\train\dandelion\1128626197_3f52424215_c.jpg,dandelion
data\raw\flower_classification\train\rose\34526050931_babfaedcc6_c.jpg,rose
data\raw\flower_classification\train\dandelion\2719375651_ddf1ea086a_c.jpg,dandelion
data\raw\flower_classification\train\sunflower\42728043481_3eb34fc540_c.jpg,sunflower
data\raw\flower_classification\train\common_daisy\33860322594_31059bfc78_c.jpg,common_daisy
data\raw\flower_classification\train\common_daisy\41514186635_dfda86a4bb_c.jpg,common_daisy
data\raw\flower_classification\train\sunflower\7830387312_beac3765de_c.jpg,sunflower
data\raw\flower_classification\train\tulip\486392035_059f76abfb_c.jpg,tulip
data\raw\flower_classification\train\sunflower\35020175172_ddd4f72284_c.jpg,sunflower
data\raw\flower_classification\train\dandelion\30028010821_47a70c94a2_c.jpg,dandelion
data\raw\flower_classification\train\dandelion\27477907335_06d1f39fc9_c.jpg,dandelion
data\raw\flower_classification\train\common_daisy\26078883492_5d1df66982_c.jpg,common_daisy
data\raw\flower_classification\train\common_daisy\26250253926_156bc66f18_c.jpg,common_daisy
data\raw\flower_classification\train\tulip\126818253_4e4beb597b_c.jpg,tulip
data\raw\flower_classification\train\rose\9574751794_93bf8fa1e8_c.jpg,rose
data\raw\flower_classification\train\common_daisy\51098070537_22d4ca5a4d_c.jpg,common_daisy
data\raw\flower_classification\train\rose\3214755819_e7f7175895_c.jpg,rose
data\raw\flower_classification\train\common_daisy\25768463544_26ce9ce6e9_c.jpg,common_daisy
data\raw\flower_classification\train\tulip\8916896927_21696fae72_c.jpg,tulip
data\raw\flower_classification\train\rose\8463662492_f6d5d0fcda_c.jpg,rose
data\raw\flower_classification\train\dandelion\39835216610_121086fed8_c.jpg,dandelion
data\raw\flower_classification\train\tulip\8647361190_e647699a42_c.jpg,tulip
data\raw\flower_classification\train\tulip\503962049_d910a59a6b_c.jpg,tulip
data\raw\flower_classification\train\dandelion\4452319051_7f85a78678_c.jpg,dandelion
data\raw\flower_classification\train\common_daisy\4531917670_c5e3f65bd0_c.jpg,common_daisy
data\raw\flower_classification\train\dandelion\6975068358_0c9dcc41aa_c.jpg,dandelion
data\raw\flower_classification\train\common_daisy\13172071815_537ff0e6ce_c.jpg,common_daisy
data\raw\flower_classification\train\tulip\17622858052_71b447a7ed_c.jpg,tulip
data\raw\flower_classification\train\dandelion\18763022808_bd514c8b51_c.jpg,dandelion
data\raw\flower_classification\train\rose\7202205662_6bd0259962_c.jpg,rose
data\raw\flower_classification\train\common_daisy\7585856644_d51c57ba8a_c.jpg,common_daisy
data\raw\flower_classification\train\tulip\493740374_ebaddfed31_c.jpg,tulip
data\raw\flower_classification\train\sunflower\32473676348_663147f38c_c.jpg,sunflower
data\raw\flower_classification\train\common_daisy\49837440511_ddb67accfa_c.jpg,common_daisy
data\raw\flower_classification\train\rose\25036282086_e5a9634785_c.jpg,rose
data\raw\flower_classification\train\sunflower\38730884671_672a8bf2f3_c.jpg,sunflower
data\raw\flower_classification\train\dandelion\43295100262_d480464b51_c.jpg,dandelion
data\raw\flower_classification\train\dandelion\5708719023_ef4cc56a8c_c.jpg,dandelion
data\raw\flower_classification\train\common_daisy\18952467312_4bbda92599_c.jpg,common_daisy
data\raw\flower_classification\train\rose\34377814175_7c9fa17543_c.jpg,rose
data\raw\flower_classification\train\common_daisy\8277921469_8bb4dc4763_c.jpg,common_daisy
data\raw\flower_classification\train\tulip\7051845027_0f4880037d_c.jpg,tulip
data\raw\flower_classification\train\tulip\171424956_bfd8b88c1d_c.jpg,tulip
data\raw\flower_classification\train\sunflower\2697002801_2abfaea013_c.jpg,sunflower
data\raw\flower_classification\train\sunflower\14558342284_277af7974e_c.jpg,sunflower
data\raw\flower_classification\train\rose\14661618282_7d1b812080_c.jpg,rose
data\raw\flower_classification\train\tulip\7101417673_82a3df9f19_c.jpg,tulip
data\raw\flower_classification\train\sunflower\1149584904_d5f3d93740_c.jpg,sunflower
data\raw\flower_classification\train\dandelion\8835963462_cc3259e1c1_c.jpg,dandelion
data\raw\flower_classification\train\tulip\6271748567_d82975fb95_c.jpg,tulip
data\raw\flower_classification\train\dandelion\29371135248_fd8a3220c0_c.jpg,dandelion
data\raw\flower_classification\train\tulip\25112947843_074c4e8113_c.jpg,tulip
data\raw\flower_classification\train\tulip\26912662953_0ceb9f31f6_c.jpg,tulip
data\raw\flower_classification\train\rose\2277130885_3d7d4785f9_c.jpg,rose
data\raw\flower_classification\train\dandelion\5690212625_faa849a29a_c.jpg,dandelion
data\raw\flower_classification\train\common_daisy\16937095790_6892620444_c.jpg,common_daisy
data\raw\flower_classification\train\sunflower\221238217_7620b4f2c5_c.jpg,sunflower
data\raw\flower_classification\train\dandelion\17587091549_d9840dc0e3_c.jpg,dandelion
data\raw\flower_classification\train\dandelion\3586377791_ec46d44846_c.jpg,dandelion
data\raw\flower_classification\train\common_daisy\42652700782_b5e9d6a37c_c.jpg,common_daisy
data\raw\flower_classification\train\common_daisy\18335265944_a99f524438_c.jpg,common_daisy
data\raw\flower_classification\train\tulip\2490997852_372227c4d8_c.jpg,tulip
data\raw\flower_classification\train\sunflower\10210025666_5d84aeb685_c.jpg,sunflower
data\raw\flower_classification\train\tulip\5466118204_3e970871bb_c.jpg,tulip
data\raw\flower_classification\train\common_daisy\48138575591_d3ff9f6215_c.jpg,common_daisy
data\raw\flower_classification\train\sunflower\20299476942_50e1e56a81_c.jpg,sunflower
data\raw\flower_classification\train\dandelion\5379196970_9c8c804f62_c.jpg,dandelion
data\raw\flower_classification\train\common_daisy\2324027039_24f70a214b_c.jpg,common_daisy
data\raw\flower_classification\train\common_daisy\51149934991_b5ff4e987b_c.jpg,common_daisy
data\raw\flower_classification\train\tulip\6822877094_7a36b955ef_c.jpg,tulip
data\raw\flower_classification\train\rose\4999491651_1e5d7befa0_c.jpg,rose
data\raw\flower_classification\train\rose\7817967940_bd7529b5ae_c.jpg,rose
data\raw\flower_classification\train\dandelion\7890476082_c3756c5dc6_c.jpg,dandelion
data\raw\flower_classification\train\common_daisy\8147166231_6315728c80_c.jpg,common_daisy
data\raw\flower_classification\train\dandelion\4534962658_67bf0b66f3_c.jpg,dandelion
data\raw\flower_classification\train\common_daisy\8617160618_955395716e_c.jpg,common_daisy
data\raw\flower_classification\train\tulip\26226081973_a5157c0d8f_c.jpg,tulip
data\raw\flower_classification\train\common_daisy\5665155923_df92fb74c4_c.jpg,common_daisy
data\raw\flower_classification\train\rose\26364622653_8e346c7759_c.jpg,rose
data\raw\flower_classification\train\sunflower\195230080_6e70ad2409_c.jpg,sunflower
data\raw\flower_classification\train\common_daisy\29480241451_9d7c0efb0f_c.jpg,common_daisy
data\raw\flower_classification\train\sunflower\6165301763_2979f52d43_c.jpg,sunflower
data\raw\flower_classification\train\sunflower\3726064870_f4e3728754_c.jpg,sunflower
data\raw\flower_classification\train\tulip\26009099724_6bd18fe794_c.jpg,tulip
data\raw\flower_classification\train\dandelion\7356144082_7d47e4d464_c.jpg,dandelion
data\raw\flower_classification\train\dandelion\2647837267_3cf53df81b_c.jpg,dandelion
data\raw\flower_classification\train\rose\3262676270_947c4fd47e_c.jpg,rose
data\raw\flower_classification\train\common_daisy\14642105363_a97ee37558_c.jpg,common_daisy
data\raw\flower_classification\train\rose\5478649993_be3e2b388e_c.jpg,rose
data\raw\flower_classification\train\dandelion\35102186586_7d430e48cb_c.jpg,dandelion
data\raw\flower_classification\train\sunflower\3712122433_867776583f_c.jpg,sunflower
data\raw\flower_classification\train\sunflower\14530728234_4d3a75e1e1_c.jpg,sunflower
data\raw\flower_classification\train\rose\13463664043_80a05a1d51_c.jpg,rose
data\raw\flower_classification\train\rose\5969461387_d394491f36_c.jpg,rose
data\raw\flower_classification\train\tulip\4416022046_1694a0dfa1_c.jpg,tulip
data\raw\flower_classification\train\sunflower\4864623927_a93b37bc9b_c.jpg,sunflower
data\raw\flower_classification\train\common_daisy\4616075582_580db9cf87_c.jpg,common_daisy
data\raw\flower_classification\train\rose\43867827595_d60ee1e8d8_c.jpg,rose
data\raw\flower_classification\train\rose\4688265296_a40b23e0f6_c.jpg,rose
data\raw\flower_classification\train\rose\27236249566_92118a4eb8_c.jpg,rose
data\raw\flower_classification\train\dandelion\34616382633_401ac4c34e_c.jpg,dandelion
data\raw\flower_classification\train\tulip\5536137680_9681fbf1af_c.jpg,tulip
data\raw\flower_classification\train\sunflower\3808738829_4c6488f88b_c.jpg,sunflower
data\raw\flower_classification\train\dandelion\14458301723_2cb98c9ac9_c.jpg,dandelion
data\raw\flower_classification\train\dandelion\41211635414_74534804d1_c.jpg,dandelion
data\raw\flower_classification\train\common_daisy\17345207772_208cb9f46c_c.jpg,common_daisy
data\raw\flower_classification\train\sunflower\5528601_b7a824d447_c.jpg,sunflower
data\raw\flower_classification\train\tulip\13971369776_25ab4eb717_c.jpg,tulip
data\raw\flower_classification\train\sunflower\5815663291_a43fdf3fb6_c.jpg,sunflower
data\raw\flower_classification\train\rose\21796477832_a2fd34bb66_c.jpg,rose
data\raw\flower_classification\train\sunflower\190214666_e9bfb0c1ae_c.jpg,sunflower
data\raw\flower_classification\train\tulip\26273460465_fe4367e05b_c.jpg,tulip
data\raw\flower_classification\train\common_daisy\48212743551_064d0e79cc_c.jpg,common_daisy
data\raw\flower_classification\train\tulip\17088136461_0d484dddb9_c.jpg,tulip
data\raw\flower_classification\train\dandelion\6011171170_3f33822919_c.jpg,dandelion
data\raw\flower_classification\train\rose\14186749150_c5b0d642ca_c.jpg,rose
data\raw\flower_classification\train\dandelion\7515163266_c705762585_c.jpg,dandelion
